core-2             | 2024-06-19T19:23:11.326Z  INFO 1 --- [core] [nio-8083-exec-4] o.o.h.core.controller.UserController     : start search by param Г А
core-2             | 2024-06-19T19:23:11.326Z  INFO 1 --- [core] [nio-8083-exec-3] o.o.h.core.controller.UserController     : start search by param Д Р
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%93&last_name=%D0%90 HTTP/1.1" 200 215547 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%A0 HTTP/1.1" 200 351195 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.357Z  INFO 1 --- [core] [nio-8082-exec-6] o.o.h.core.controller.UserController     : start search by param О О
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%9E&last_name=%D0%9E HTTP/1.1" 200 40269 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:11.465Z  INFO 1 --- [core] [nio-8083-exec-5] o.o.h.core.controller.UserController     : start search by param М Б
core-1             | 2024-06-19T19:23:11.467Z  INFO 1 --- [core] [io-8082-exec-10] o.o.h.core.controller.UserController     : start search by param В Д
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%92&last_name=%D0%94 HTTP/1.1" 200 764707 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:11.512Z  INFO 1 --- [core] [nio-8083-exec-6] o.o.h.core.controller.UserController     : start search by param М Д
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%9C&last_name=%D0%91 HTTP/1.1" 200 1653436 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.571Z  INFO 1 --- [core] [nio-8082-exec-7] o.o.h.core.controller.UserController     : start search by param Т Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%9C&last_name=%D0%94 HTTP/1.1" 200 1003166 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%A2&last_name=%D0%A2 HTTP/1.1" 200 188105 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:11.658Z  INFO 1 --- [core] [nio-8083-exec-8] o.o.h.core.controller.UserController     : start search by param Б И
core-2             | 2024-06-19T19:23:11.658Z  INFO 1 --- [core] [nio-8083-exec-9] o.o.h.core.controller.UserController     : start search by param С Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%91&last_name=%D0%98 HTTP/1.1" 200 36574 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%A1&last_name=%D0%A2 HTTP/1.1" 200 413914 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.765Z  INFO 1 --- [core] [nio-8082-exec-9] o.o.h.core.controller.UserController     : start search by param Н Р
core-2             | 2024-06-19T19:23:11.766Z  INFO 1 --- [core] [nio-8083-exec-7] o.o.h.core.controller.UserController     : start search by param К И
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%9D&last_name=%D0%A0 HTTP/1.1" 200 125143 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%9A&last_name=%D0%98 HTTP/1.1" 200 382165 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.840Z  INFO 1 --- [core] [nio-8082-exec-1] o.o.h.core.controller.UserController     : start search by param Д Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%A2 HTTP/1.1" 200 439086 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:11.865Z  INFO 1 --- [core] [nio-8083-exec-1] o.o.h.core.controller.UserController     : start search by param Д Б
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%91 HTTP/1.1" 200 829062 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.913Z  INFO 1 --- [core] [nio-8082-exec-2] o.o.h.core.controller.UserController     : start search by param А Г
core-1             | 2024-06-19T19:23:12.018Z  INFO 1 --- [core] [nio-8082-exec-3] o.o.h.core.controller.UserController     : start search by param Н Р
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9D&last_name=%D0%A0 HTTP/1.1" 200 125143 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%90&last_name=%D0%93 HTTP/1.1" 200 2317881 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:12.055Z  INFO 1 --- [core] [io-8083-exec-10] o.o.h.core.controller.UserController     : start search by param Ж М
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%9C HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.132Z  INFO 1 --- [core] [nio-8082-exec-4] o.o.h.core.controller.UserController     : start search by param Ж Р
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%A0 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.240Z  INFO 1 --- [core] [nio-8082-exec-5] o.o.h.core.controller.UserController     : start search by param Г М
core-2             | 2024-06-19T19:23:12.241Z  INFO 1 --- [core] [nio-8083-exec-2] o.o.h.core.controller.UserController     : start search by param Л П
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9B&last_name=%D0%9F HTTP/1.1" 200 296303 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%93&last_name=%D0%9C HTTP/1.1" 200 334878 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.265Z  INFO 1 --- [core] [nio-8082-exec-8] o.o.h.core.controller.UserController     : start search by param М С
core-2             | 2024-06-19T19:23:12.440Z  INFO 1 --- [core] [nio-8083-exec-4] o.o.h.core.controller.UserController     : start search by param П Ж
core-1             | 2024-06-19T19:23:12.444Z  INFO 1 --- [core] [nio-8082-exec-6] o.o.h.core.controller.UserController     : start search by param Д Т
core-1             | 2024-06-19T19:23:12.445Z  INFO 1 --- [core] [io-8082-exec-10] o.o.h.core.controller.UserController     : start search by param Д Л
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9F&last_name=%D0%96 HTTP/1.1" 200 60513 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9C&last_name=%D0%A1 HTTP/1.1" 200 3343867 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:12.473Z  INFO 1 --- [core] [nio-8083-exec-3] o.o.h.core.controller.UserController     : start search by param Е И
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%A2 HTTP/1.1" 200 439086 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%9B HTTP/1.1" 200 589324 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%95&last_name=%D0%98 HTTP/1.1" 200 545873 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.509Z  INFO 1 --- [core] [nio-8082-exec-7] o.o.h.core.controller.UserController     : start search by param О Н
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9E&last_name=%D0%9D HTTP/1.1" 200 72400 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.641Z  INFO 1 --- [core] [nio-8082-exec-1] o.o.h.core.controller.UserController     : start search by param Ж С
core-1             | 2024-06-19T19:23:12.641Z  INFO 1 --- [core] [nio-8082-exec-9] o.o.h.core.controller.UserController     : start search by param Д Г
